Model,Best Val Acc,Best Val Acc Epoch,Final Val Acc,Best Val Loss,Final Val Loss,Final Train Acc,Overfit Gap,Acc Improvement
Logistic Regression,0.6438229870928088,74.0,0.6425937307928703,0.6311792395855467,0.6325913190693239,0.6588813767670559,0.01628764597418564,0.049170251997541436
Basic Model,0.6601106524467468,49.0,0.6564228534698486,0.6236343383789062,0.6248417496681213,0.6511302590370178,-0.0052925944328308105,0.06299936771392822
Transformer,0.675169050693512,54.0,0.6671788692474365,0.6062229871749878,0.6126777529716492,0.6629788875579834,-0.004199981689453125,0.07375538349151611
Transformer+TeamInfo,0.6693300604820251,62.0,0.6641057133674622,0.6146393418312073,0.6148163080215454,0.6558765172958374,-0.008229196071624756,0.07068222761154175
